gene	symbol	project-name	mut-freq	MuSiC	oncodriveFM	oncodriveCLUST	ActiveDriver	MutSig	driver-category
ENSG00000124608	AARS2	BREAST TCGA	0.00656167979003	null	null	null	null	null	HCD
ENSG00000124608	AARS2	BRAIN GLIOBLASTOMA TCGA	0.00689655172414	null	null	null	null	null	HCD
ENSG00000124608	AARS2	HEAD/NECK SQUAMOUS TCGA	0.00996677740864	null	null	null	null	null	HCD
ENSG00000124608	AARS2	KIDNEY CLEAR CELL TCGA	0.00479616306954	null	null	null	null	null	HCD
ENSG00000124608	AARS2	LUNG ADENO TCGA	0.0131578947368	null	null	null	null	null	HCD
ENSG00000124608	AARS2	LUNG SQUAMOUS CELL TCGA	0.0287356321839	null	null	null	null	null	HCD
ENSG00000124608	AARS2	OVARY TCGA	0.00949367088608	null	null	null	null	null	HCD
ENSG00000124608	AARS2	PANCANCER12 TCGA	0.00780031201248	0	0	0	0	1	HCD
ENSG00000124608	AARS2	UTERI TCGA	0.00869565217391	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	BLADDER UROTHELIAL TCGA	0.0204081632653	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	BREAST TCGA	0.0131233595801	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	COLORECTAL ADENO TCGA	0.0155440414508	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	BRAIN GLIOBLASTOMA TCGA	0.0379310344828	0	1	0	0	0	HCD
ENSG00000085563	ABCB1	HEAD/NECK SQUAMOUS TCGA	0.0431893687708	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	KIDNEY CLEAR CELL TCGA	0.00959232613909	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	LUNG ADENO TCGA	0.0921052631579	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	LUNG SQUAMOUS CELL TCGA	0.0689655172414	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	OVARY TCGA	0.0126582278481	null	null	null	null	null	HCD
ENSG00000085563	ABCB1	PANCANCER12 TCGA	0.0290171606864	1	0	0	0	1	HCD
