Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_1	2	O60547,P30043	GMDS_HUMAN,BLVRB_HUMAN	0	O60547,P30043,	-	-	-	-	-	-	-	-	-	Fungi
C_2	2	Q92785,Q9NVP1	REQU_HUMAN,DDX18_HUMAN	0	Q92785,Q9NVP1,	-	-	-	-	-	-	-	-	-	vertebrates
C_3	2	Q86Y82,O95249	STX12_HUMAN,GOSR1_HUMAN	0	O95249,Q86Y82,	-	-	-	-	-	-	-	F_7 (2.22E-03)	-	vertebrates
C_4	2	Q9UPN6,P26583	SCAF8_HUMAN,HMGB2_HUMAN	0	P26583,Q9UPN6,	-	-	-	-	-	-	-	-	-	vertebrates
C_5	2	P15408,P18846	FOSL2_HUMAN,ATF1_HUMAN	0	P15408,P18846,	-	-	-	-	-	-	-	-	-	vertebrates
C_6	2	P23258,Q9UGJ1	TBG1_HUMAN,GCP4_HUMAN	2	-	P23258,Q9UGJ1,	-	REACT_15704~gamma-tubulin complex [cytosol] (4.50e-04)	-	HPRD_677::in vivo (3.48e-04)	-	AM000107 (6.97e-04)	-	-	Plants &Protists
C_7	2	Q96FW1,Q8N6M0	OTUB1_HUMAN,OTU6B_HUMAN	2	-	Q96FW1,Q8N6M0	-	-	-	-	-	-	-	-	Plants &Protists
C_8	2	Q9H6T3,Q9NWS0	RPAP3_HUMAN,PIHD1_HUMAN	2	-	Q9H6T3,Q9NWS0,	-	-	-	HPRD_1603::in vitro (6.32e-04)	-	AM000210 (5.48e-04)	-	-	vertebrates
C_9	2	Q9H2W6,Q9UJS0	RM46_HUMAN,CMC2_HUMAN	0	Q9H2W6,Q9UJS0,	-	-	-	-	-	-	-	-	-	vertebrates
C_10	2	Q9Y3C4,Q96S44	TPRKB_HUMAN,PRPK_HUMAN	2	-	Q9Y3C4,Q96S44	-	-	-	-	-	-	-	Y_168 (2.48E-04)	Fungi
C_11	2	Q9UDY4,O95433	DNJB4_HUMAN,AHSA1_HUMAN	0	O95433,Q9UDY4,	-	-	-	-	-	-	-	-	-	vertebrates
C_12	2	Q92917,Q99700	GPKOW_HUMAN,ATX2_HUMAN	0	Q92917,Q99700,	-	-	-	-	-	-	-	-	-	vertebrates
C_13	2	O00534,P06126	VMA5A_HUMAN,CD1A_HUMAN	0	O00534,P06126,	-	-	-	-	-	-	-	-	-	vertebrates
C_14	2	Q53EL6,P55055	PDCD4_HUMAN,NR1H2_HUMAN	0	P55055,Q53EL6,	-	-	-	-	-	-	-	-	-	vertebrates
C_15	2	P46013,Q8IVH2	KI67_HUMAN,FOXP4_HUMAN	0	P46013,Q8IVH2,	-	-	-	-	-	-	-	-	-	birds
C_16	2	Q15181,Q9Y281	IPYR_HUMAN,COF2_HUMAN	0	Q15181,Q9Y281,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_17	2	P42338,P27986	PK3CB_HUMAN,P85A_HUMAN	2	-	P27986,P42338,	-	REACT_4240~PI3K [cytosol] (1.36e-04)	-	-	-	-	-	-	vertebrates
C_18	2	Q14118,P57737	DAG1_HUMAN,CORO7_HUMAN	0	P57737,Q14118,	-	-	-	-	-	-	-	-	-	Fungi
C_19	2	Q13131,Q9Y478	AAPK1_HUMAN,AAKB1_HUMAN	2	-	Q13131,Q9Y478,	-	REACT_21851~p-AMPK heterotrimer:AMP [cytosol] (3.53e-04)	-	HPRD_2645::in vitro and in vivo (5.47e-04)	-	-	-	Y_40 (1.77E-06)	vertebrates
C_20	2	Q9H0R4,Q96FN9	HDHD2_HUMAN,DTD2_HUMAN	0	Q96FN9,Q9H0R4,	-	-	-	-	-	-	-	-	-	Fungi
C_21	2	Q9NYV6,Q96T37	RRN3_HUMAN,RBM15_HUMAN	0	Q96T37,Q9NYV6,	-	-	-	-	-	-	-	-	-	vertebrates
C_22	2	Q6UVK1,P04632	CSPG4_HUMAN,CPNS1_HUMAN	0	P04632,Q6UVK1,	-	-	-	-	-	-	-	-	-	vertebrates
C_23	2	Q99417,Q9UHL4	MYCBP_HUMAN,DPP2_HUMAN	0	Q99417,Q9UHL4,	-	-	-	-	-	-	-	-	-	multicellularity
C_24	2	Q9Y6N7,P53778	ROBO1_HUMAN,MK12_HUMAN	0	P53778,Q9Y6N7,	-	-	-	-	-	-	-	-	-	vertebrates
C_25	2	O15047,Q9UBL3	SET1A_HUMAN,ASH2L_HUMAN	2	-	O15047,Q9UBL3,	CORUM_2731::Set1A complex (1.83e-04)	-	PINdb_239::CFP1 Complex- transcription (6.08e-03)	HPRD_2454::in vitro (1.44e-04)	GO:0048188|Set1C/COMPASS complex (1.45e-03)	-	-	-	vertebrates
C_26	2	Q13630,Q8WXX5	FCL_HUMAN,DNJC9_HUMAN	0	Q13630,Q8WXX5,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_27	2	Q969U7,O95456	PSMG2_HUMAN,PSMG1_HUMAN	2	-	O95456,Q969U7,	CORUM_3034::PAC1-PAC2 complex (1.86e-05)	-	-	-	-	-	-	-	vertebrates
C_28	2	O95197,Q9NRG1	RTN3_HUMAN,PRDC1_HUMAN	0	O95197,Q9NRG1,	-	-	-	-	-	-	-	-	-	multicellularity
