A census of human transcription factors: function, expression and evolution
Juan M Vaquerizas, Sarah K Kummerfeld, Sarah A Teichmann, Nicholas M Luscombe

Supplementary Table 2
List of TF-encoding loci classified as 'a', 'b', 'c', 'x', or selected from other databases (classified as 'other'; see Supplementary Material). For TFs included in the repertoire, the list also contains accompanying information including: Ensembl gene IDs (release 51), HGNC identifiers, IPI IDs, associated DNA-binding Interpro domains and families, and tissue specificity if any.

Last modified on Tuesday 10 Feb 2009 14:39

Downloaded from the Nature Reviews Genetics website: Downloaded from the Nature Reviews Genetics website: http://www.nature.com/nrg/journal/v10/n4/index.html 

--Table start--
Class	Ensembl ID	IPI ID	Interpro DBD	Interpro DNA-binding family	HGNC symbol	Tissue-specificity
a	ENSG00000001167	IPI00218470;IPI00333568		IPR001289	NFYA	
a	ENSG00000004848	IPI00045066	IPR000047;IPR001356;IPR009057;IPR012287		ARX	
a	ENSG00000005073	IPI00010754;IPI00807582	IPR001356;IPR009057;IPR012287		HOXA11	uterus
a	ENSG00000005513	IPI00299069;IPI00386303	IPR000910;IPR009071		SOX8	
a	ENSG00000005889	IPI00012336;IPI00169385;IPI00179465;IPI00607877	IPR007087;IPR015880	IPR006794	ZFX	general
a	ENSG00000006377	IPI00008195	IPR000047;IPR001356;IPR009057;IPR012287		DLX6	
a	ENSG00000006468	IPI00221065;IPI00306430;IPI00744316;IPI00892607;IPI00892613;IPI00892747;IPI00892996	IPR000418;IPR011991		ETV1	adrenal.cortex;whole.brain
a	ENSG00000007372	IPI00218800;IPI00449071;IPI00657677;IPI00657717;IPI00657866	IPR001356;IPR009057;IPR011991;IPR012287		PAX6	
a	ENSG00000007866	IPI00385455;IPI00412347;IPI00647431;IPI00879254		IPR000818;IPR016361	TEAD3	placenta
a	ENSG00000007968	IPI00290548	IPR003316;IPR011991	IPR015633	E2F2	
a	ENSG00000008196	IPI00021557;IPI00216446;IPI00873218	IPR013854	IPR004979	TFAP2B	
a	ENSG00000008197	IPI00217422	IPR013854	IPR004979	TFAP2D	
a	ENSG00000008441	IPI00011507;IPI00218260;IPI00221071;IPI00221073;IPI00306473;IPI00395691;IPI00747331	IPR003619	IPR000647	NFIX	
a	ENSG00000009709	IPI00004431;IPI00012894;IPI00719545	IPR001356;IPR009057;IPR011991;IPR012287		PAX7	
a	ENSG00000009950	IPI00016812;IPI00182467;IPI00215985;IPI00215986;IPI00215988	IPR011598		MLXIPL	general
a	ENSG00000010030	IPI00001714;IPI00221263;IPI00221264;IPI00221265;IPI00221266;IPI00221267;IPI00221268	IPR000418;IPR011991		ETV7	general
a	ENSG00000010539	IPI00377201;IPI00377202;IPI00646602	IPR007086;IPR007087;IPR015880		ZNF200	whole.blood.JJV
a	ENSG00000010818	IPI00144243	IPR007087;IPR015880		HIVEP2	fetal.brain;whole.brain
a	ENSG00000012504	IPI00045302;IPI00168867;IPI00220798;IPI00410346	IPR001628	IPR000324;IPR001723	NR1H4	adrenal.cortex;fetal.liver
a	ENSG00000016082	IPI00025071	IPR001356;IPR009057;IPR012287		ISL1	
a	ENSG00000019549	IPI00013394	IPR007086;IPR007087;IPR015880		SNAI2	fetal.lung;placenta;prostate;smooth.muscle;uterus
a	ENSG00000020633	IPI00004015;IPI00218386	IPR008967;IPR012346;IPR013524	IPR000040;IPR016554	RUNX3	bone.marrow;lung;lymph.node;salivary.gland;thymus;tonsil;whole.blood.JJV
a	ENSG00000025156	IPI00012878	IPR000232;IPR011991		HSF2	general
a	ENSG00000025434	IPI00220134;IPI00301894;IPI00790577;IPI00791645;IPI00796145;IPI00877914;IPI00878873;IPI00879201;IPI00879649	IPR001628;IPR007087	IPR000324;IPR001723;IPR001728	NR1H3	liver;lymph.node;testis
a	ENSG00000028277	IPI00002666;IPI00012533;IPI00221055;IPI00335926;IPI00888702	IPR000327;IPR000972;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847		POU2F2	general
a	ENSG00000029153	IPI00142781;IPI00163662;IPI00465306;IPI00788724;IPI00789255;IPI00795339;IPI00827866;IPI00827897	IPR011598	IPR001067	ARNTL2	
a	ENSG00000031544	IPI00001888;IPI00215922	IPR001628	IPR000003;IPR000324;IPR001723	NR2E3	general
a	ENSG00000037965	IPI00010756	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		HOXC8	general
a	ENSG00000039600	IPI00016680;IPI00220989	IPR000910;IPR009071		SOX30	
a	ENSG00000043039	IPI00216572	IPR000047;IPR001356;IPR009057;IPR012287		BARX2	
a	ENSG00000043355	IPI00030652;IPI00872334	IPR007087;IPR015880		ZIC2	
a	ENSG00000050344	IPI00009207	IPR004827;IPR008917;IPR011616		NFE2L3	placenta
a	ENSG00000052850	IPI00334769	IPR001356;IPR009057;IPR012287		ALX4	
a	ENSG00000054598	IPI00290377;IPI00785090	IPR001766;IPR011991		FOXC1	salivary.gland;trachea
a	ENSG00000057657	IPI00337575;IPI00747253	IPR007087;IPR015880		PRDM1	
a	ENSG00000059728	IPI00012034	IPR011598		MXD1	
a	ENSG00000060138	IPI00031801;IPI00219147;IPI00219148;IPI00555698;IPI00790453	IPR002059		CSDA	skeletal.muscle.psoas;testis;tongue
a	ENSG00000063515	IPI00006760	IPR001356;IPR009057;IPR012287		GSC2	
a	ENSG00000064195	IPI00029716	IPR000047;IPR001356;IPR009057;IPR012287		DLX3	
a	ENSG00000064218	IPI00009727	IPR001275		DMRT3	
a	ENSG00000064489	IPI00024082;IPI00643381	IPR002100		MEF2B	
a	ENSG00000064835	IPI00000794;IPI00216420	IPR000327;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847	IPR015586	POU1F1	pituitary
a	ENSG00000065029	IPI00003784;IPI00218817;IPI00556397	IPR007087;IPR015880		ZNF76	general
a	ENSG00000065970	IPI00000781;IPI00221299	IPR001766;IPR011991		FOXJ2	general
a	ENSG00000065978	IPI00031812;IPI00450235;IPI00643351;IPI00643807	IPR002059		YBX1	
a	ENSG00000066136	IPI00071697;IPI00216406;IPI00216407;IPI00644539;IPI00645066;IPI00646320	IPR003958		NFYC	whole.blood.JJV
a	ENSG00000066336	IPI00018333;IPI00743399;IPI00827738	IPR000418;IPR011991		SPI1	lung;whole.blood.JJV
a	ENSG00000067082	IPI00014503;IPI00293523;IPI00478435	IPR007087;IPR015880		KLF6	lung;pancreas;skin;whole.blood.JJV
a	ENSG00000067646	IPI00027202;IPI00645040;IPI00794264	IPR007087;IPR015880	IPR006794	ZFY	
