A0FGR8,A0FGR8,24847877;23791178,x-ray crystallography;ion mobility mass spectrometry of complexes;anti tag coimmunoprecipitation,
A4PIV7,P51532,23540691,anti bait coip,
A5YKK6,Q9HCJ0,23463101;21981923,anti tag coimmunoprecipitation,
A5YKK6,Q9UFF9,10637334;22977175;16778766;17353931,two hybrid;anti tag coimmunoprecipitation;anti bait coip,
A7KAX9,P06241,12788081,pull down;anti tag coimmunoprecipitation;anti bait coip,
A7MCY6,Q14164,17568778,anti tag coimmunoprecipitation,
A7MCY6,Q9UHD2,14743216;17568778,tandem affinity purification;pull down;anti tag coimmunoprecipitation,
A8K8P3,P41208,16956364,isothermal titration calorimetry;circular dichroism,
A8MT69,Q8N2Z9,23886707,molecular sieving,
A9UHW6,P56524,21988832,pull down;confocal microscopy,
D6RGH6,O75496,21543332,anti tag coimmunoprecipitation;anti bait coip;pull down;fluorescence microscopy,
O00170,O00408,17329248,pull down;anti bait coip;confocal microscopy,
O00198,Q07021,15031724,pull down;anti tag coimmunoprecipitation;fluorescence microscopy,
O00198,Q07817,14596824,scintillation proximity assay,
O00213,P05067,9461550,two hybrid,
O00213,Q07954,21968187,pull down,
O00214,Q15583,18511908,anti tag coimmunoprecipitation;anti bait coip;fluorescence microscopy;two hybrid,
O00233,P62333,16189514,two hybrid pooling approach,
O00255,P35579,14508515,tandem affinity purification;pull down,
O00257,P35226,17332741,anti bait coip,
O00257,Q16665,24434214,anti bait coip;anti tag coimmunoprecipitation,
O00267,P63272,10075709,anti tag coimmunoprecipitation;far western blotting,
O00273,O76075,9108473;9422506,coimmunoprecipitation;filter binding,
O00291,P42858,15383276,two hybrid,
O00291,P53675,11517213,imaging technique,
O00303,P55884,19245811,anti bait coip,
O00303,Q969P5,18354498,pull down;anti tag coimmunoprecipitation;fluorescence microscopy,
O00308,P84022,21258410,anti bait coip,
O00308,Q01860,19274063,anti bait coip;anti tag coimmunoprecipitation,
O00308,Q15796,21258410,anti tag coimmunoprecipitation,
O00401,O43516,11331876,two hybrid,
O00401,P60953,20936779,two hybrid pooling approach,
O00401,P62993,17474147,peptide array,
O00401,Q15811,18539136,pull down,
O00401,Q99828,16582881,two hybrid;anti bait coip;surface plasmon resonance;anti tag coimmunoprecipitation,
O00408,O00170,17329248,two hybrid;pull down,
O00410,P18124,20828572,biophysical,
O00410,P60520,20562859,pull down,
O00410,Q9H0R8,20562859,pull down,
O00429,Q5S007,22639965;24282027;22228096,anti tag coimmunoprecipitation;confocal microscopy;anti bait coip,
O00429,O00429,23584531,x-ray crystallography;cosedimentation in solution;molecular sieving,
O00459,P04626,16729043;16273093,pull down;protein array,
O00459,P21860,16729043;16273093,pull down;protein array,
O00463,Q92956,9162022;9153189,pull down;two hybrid,
O00470,P16220,20541704,anti tag coimmunoprecipitation;anti bait coip,
O00499,P09467,16275660,two hybrid;peptide array,
O00499,Q13426,16275660,two hybrid,
O00499,Q13496,23917616,anti tag coimmunoprecipitation;pull down,
O00499,Q9Y2H0,16275660,filter binding;pull down;peptide array,
O00506,O00506,15037601,protein kinase assay,
O00506,Q9BUL8,17657516;21516116,two hybrid,
