PMID|Methods|UniPro|SwissP/TrEMBL_A|Gene_names_A|NCBI_tax_ID_A|UniPro|SwissP/TrEMBL_B|Gene_names_B|NCBI_tax_ID_B
9867828|two hybrid|P05109|SP|S100A8;CAGA;MRP8;calgranulin A (migration inhibitory factor-related protein 8)|9606|P06702|SP|S100A9;CAGB;MRP14;calgranulin B (migration inhibitory factor-related protein 14)|9606
9867828|two hybrid|P06702|SP|S100A9;CAGB;MRP14;calgranulin B (migration inhibitory factor-related protein 14)|9606|P05109|SP|S100A8;CAGA;MRP8;calgranulin A (migration inhibitory factor-related protein 8)|9606
10611319|copurification|U47050|GB|TRP3;calcium influx channel protein|9606|D26351|GB|IP3R-3;inositol 1,4,5-trisphosphate receptor, type 3|9606
10611319|copurification|D26351|GB|IP3R-3;inositol 1,4,5-trisphosphate receptor, type 3|9606|U47050|GB|TRP3;calcium influx channel protein|9606
10611319|coip:coimmunoprecipitation|U47050|GB|TRP3;calcium influx channel protein|9606|D26351|GB|IP3R-3;inositol 1,4,5-trisphosphate receptor, type 3|9606
8649853|coip:coimmunoprecipitation|P42684|SP|ARG;ABL2;ABLL;nonreceptor protein-tyrosine kinase Arg (Abelson family)|9606|X95632|GB|ArgBP1A;Arg protein tyrosine kinase binding protein|9606
8628302|coip:coimmunoprecipitation|Q07244|SP|hnRNP K;heterogeneous nuclear ribonucleoprotein K|9606|P20226|SP|TBP;TATA-binding protein|9606
8628302|copurification|Q07244|SP|hnRNP K;heterogeneous nuclear ribonucleoprotein K|9606|P20226|SP|TBP;TATA-binding protein|9606
11134351|two hybrid|P22712|SP|MPB-1;C-myc promoter-binding protein (MPB-1)|9606|AF0589|GB|MIP-2A;MBP-1 interacting protein-2A (MIP-2A)|9606
11134351|two hybrid|P22712|SP|MPB-1;C-myc promoter-binding protein (MPB-1)|9606|AF0589|GB|MIP-2A;MBP-1 interacting protein-2A (MIP-2A)|9606
11134351|copurification|P22712|SP|MPB-1;C-myc promoter-binding protein (MPB-1)|9606|AF0589|GB|MIP-2A;MBP-1 interacting protein-2A (MIP-2A)|9606
11134351|copurification|AF0589|GB|MIP-2A;MBP-1 interacting protein-2A (MIP-2A)|9606|P22712|SP|MPB-1;C-myc promoter-binding protein (MPB-1)|9606
11134351|coip:coimmunoprecipitation|P22712|SP|MPB-1;C-myc promoter-binding protein (MPB-1)|9606|AF0589|GB|MIP-2A;MBP-1 interacting protein-2A (MIP-2A)|9606
10593949|copurification|O60828|SP|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606|Q9Y2W2|SP|NPWBP;NPW38-binding protein NPWBP|9606
10593949|copurification|O60828|SP|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606|Q9Y2W2|SP|NPWBP;NPW38-binding protein NPWBP|9606
10593949|two hybrid|O60828|SP|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606|Q9Y2W2|SP|NPWBP;NPW38-binding protein NPWBP|9606
10593949|coip:coimmunoprecipitation|O60828|SP|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606|Q9Y2W2|SP|NPWBP;NPW38-binding protein NPWBP|9606
10330166|copurification|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|copurification|P28749|SP|RBL1;retinoblastoma-associated protein p107 (pocket protein p107)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|copurification|Q08999|SP|RB2;RBL2;retinoblastoma-associated protein p130 (pocket protein p130)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|coip:coimmunoprecipitation|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|coip:coimmunoprecipitation|Q08999|SP|RB2;RBL2;retinoblastoma-associated protein p130 (pocket protein p130)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|coip:coimmunoprecipitation|P28749|SP|RBL1;retinoblastoma-associated protein p107 (pocket protein p107)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
10330166|coip:coimmunoprecipitation|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606|P28749|SP|RBL1;retinoblastoma-associated protein p107 (pocket protein p107)|9606
10330166|coip:coimmunoprecipitation|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606|Q08999|SP|RB2;RBL2;retinoblastoma-associated protein p130 (pocket protein p130)|9606
10330166|experimental knowledge based|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606|Q08999|SP|RB2;RBL2;retinoblastoma-associated protein p130 (pocket protein p130)|9606
10330166|experimental knowledge based|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606|P28749|SP|RBL1;retinoblastoma-associated protein p107 (pocket protein p107)|9606
10562431|coip:coimmunoprecipitation|P11166|SP|SLC2A1;GLUT1;solute carrier family 2, facilitated glucose transporter, member 1|9606|P27105|SP|EPB72;BND7;stomatin|9606
10562431|coip:coimmunoprecipitation|P27105|SP|EPB72;BND7;stomatin|9606|P11166|SP|SLC2A1;GLUT1;solute carrier family 2, facilitated glucose transporter, member 1|9606
10562279|two hybrid|O00623|SP|PEX12;PAF3;peroxisome assembly protein 12|9606|P50542|SP PXR1;PEX5;peroxisomal targeting signal 1 receptor|9606
10562279|coip:coimmunoprecipitation|O00623|SP|PEX12;PAF3;peroxisome assembly protein 12|9606|P50542|SP PXR1;PEX5;peroxisomal targeting signal 1 receptor|9606
10562279|two hybrid|O00623|SP|PEX12;PAF3;peroxisome assembly protein 12|9606|O60683|SP|PEX10;peroxisome assembly protein 10|9606
10562279|coip:coimmunoprecipitation|O00623|SP|PEX12;PAF3;peroxisome assembly protein 12|9606|O60683|SP|PEX10;peroxisome assembly protein 10|9606
10561498|coip:coimmunoprecipitation|Q06187|SP|BTK;ATK;AGMX1;BPK;tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)|9606|Q15139|SP|PRKCM;PKD;protein kinase C, mu type|9606
10561498|coip:coimmunoprecipitation|Q15139|SP|PRKCM;PKD;protein kinase C, mu type|9606|Q06187|SP|BTK;ATK;AGMX1;BPK;tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)|9606
10561498|copurification|Q06187|SP|BTK;ATK;AGMX1;BPK;tyrosine-protein kinase BTK (Bruton`s tyrosine kinase)|9606|Q15139|SP|PRKCM;PKD;protein kinase C, mu type|9606
10332029|two hybrid|P20265|SP POU3F2;BRN2;OTF7;OCT7;Nervous-system specific octamer-binding transcription factor N-OCT 3 (BRN-2 protein)|9606|O60828|O60828|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606
10332029|coip:coimmunoprecipitation|P20265|SP POU3F2;BRN2;OTF7;OCT7;Nervous-system specific octamer-binding transcription factor N-OCT 3 (BRN-2 protein)|9606|O60828|O60828|PQBP-1;JM26;NPW38;Polyglutamine binding protein 1|9606
1316909|experimental knowledge based|P08069|SP|IGF1R;Insulin-like growth factor I receptor|9606|P08069|SP|IGF1R;Insulin-like growth factor I receptor|9606
10557326|copurification|O00244|SP|ATOX1;HAH1;copper transport protein ATOX1|9606|P35670|SP|ATP7B;WND;PWD;WC1;copper-transporting ATPase 2 (Wilson disease-associated protein)|9606
10557326|coip:coimmunoprecipitation|O00244|SP|ATOX1;HAH1;copper transport protein ATOX1|9606|P35670|SP|ATP7B;WND;PWD;WC1;copper-transporting ATPase 2 (Wilson disease-associated protein)|9606
10557326|coip:coimmunoprecipitation|P35670|SP|ATP7B;WND;PWD;WC1;copper-transporting ATPase 2 (Wilson disease-associated protein)|9606|O00244|SP|ATOX1;HAH1;copper transport protein ATOX1|9606
10557326|coip:coimmunoprecipitation|Q04656|SP|ATP7A;MNK;MC1;copper-transporting ATPase 1 (Menkes disease-associated protein)|9606|O00244|SP|ATOX1;HAH1;copper transport protein ATOX1|9606
10557084|coip:coimmunoprecipitation|Q9UP38|SP|FZD1;frizzled 1 (precursor)|9606|P56704|SP|WNT3A;WNT-3A protein (precursor)|9606
10557084|coip:coimmunoprecipitation|P56704|SP|WNT3A;WNT-3A protein (precursor)|9606|Q9UP38|SP|FZD1;frizzled 1 (precursor)|9606
10557084|coip:coimmunoprecipitation|Q9UP38|SP|FZD1;frizzled 1 (precursor)|9606|P41221|SP|WNT5A;WNT-5A protein (precursor)|9606
10557084|coip:coimmunoprecipitation|P41221|SP|WNT5A;WNT-5A protein (precursor)|9606|Q9UP38|SP|FZD1;frizzled 1 (precursor)|9606
9064349|coip:coimmunoprecipitation|Q8NFC7|SP|NCF2;p67phox protein (neutrophil cytosolic factor|9606|Q15080|SP|NCF4;p40phox protein (neutrophil cytosolic factor 4)|9606
10545505|coip:coimmunoprecipitation|Q05397|SP PTK2;FAK1;FAK;focal adhesion kinase 1 (pp125FAK)|9606|P49023|P49023|PXN;paxillin|9606
10545505|coip:coimmunoprecipitation|Q05397|SP PTK2;FAK1;FAK;focal adhesion kinase 1 (pp125FAK)|9606|P49023|P49023|PXN;paxillin|9606
10545505|coip:coimmunoprecipitation|Q05397|SP PTK2;FAK1;FAK;focal adhesion kinase 1 (pp125FAK)|9606|P18206|P18206|VCL;vinculin|9606
